id,behavior
29,MB_CAVE
33,MB_NON_ANIMATED_DOOR
35,MB_NON_ANIMATED_DOOR
41,MB_SOUTH_ARROW_WARP
43,MB_EAST_ARROW_WARP
48,MB_JUMP_WEST
49,MB_JUMP_EAST
50,MB_JUMP_EAST
51,MB_JUMP_EAST
52,MB_JUMP_WEST
56,MB_JUMP_WEST
57,MB_JUMP_WEST
58,MB_JUMP_EAST
59,MB_JUMP_EAST
60,MB_JUMP_WEST
65,MB_JUMP_SOUTH
67,MB_JUMP_EAST
68,MB_JUMP_WEST
72,MB_JUMP_SOUTH
73,MB_JUMP_SOUTH
74,MB_JUMP_SOUTH
82,MB_SOUTH_ARROW_WARP
120,MB_SPIN_RIGHT
121,MB_SPIN_RIGHT
122,MB_SPIN_RIGHT
123,MB_SPIN_DOWN
128,MB_SPIN_RIGHT
129,MB_SPIN_RIGHT
131,MB_SPIN_DOWN
135,MB_WEST_ARROW_WARP
136,MB_SPIN_UP
137,MB_SPIN_LEFT
138,MB_SPIN_LEFT
139,MB_SPIN_LEFT
141,MB_SIDEWAYS_STAIRS_RIGHT_SIDE_TOP
149,MB_SIDEWAYS_STAIRS_RIGHT_SIDE
157,MB_SIDEWAYS_STAIRS_RIGHT_SIDE_BOTTOM
239,MB_SIDEWAYS_STAIRS_LEFT_SIDE_TOP
247,MB_SIDEWAYS_STAIRS_LEFT_SIDE
255,MB_SIDEWAYS_STAIRS_LEFT_SIDE_BOTTOM
